house-id,area,bathroom,bedroom,buildingSize,data-date,data-isonshow,data-location,data-url,erfSize,garage,type,data-price
17,southern-suburbs,3.5,3,,2018-02-22 16:18:52,FALSE,Silvertree Estate,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-silvertree-estate/kw1357285,635,2,house,6200000
18,atlantic-seaboard,2,2,106,2017-12-05 15:27:35,FALSE,Three Anchor Bay,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-three-anchor-bay/as1351967,,,apartment,6200000
19,boland-winelands,2.5,4,315,2018-10-01 10:12:54,FALSE,Paarl South,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-paarl-south/tk1394799,911,2,house,3390000
20,boland-winelands,1,3,150,2017-10-13 13:35:46,FALSE,Robertson,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-robertson/rob1343277,500,1,apartment,1295000
21,northern-suburbs,3,5,500,2017-03-23 12:33:39,FALSE,Rondebosch,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-rondebosch/kw1312164,986,2,house,6950000
22,boland-winelands,3,5,,2018-02-12 14:01:27,FALSE,Riebeek Valley,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-riebeek-valley/rv1360482,238,2,apartment,4950000
23,southern-suburbs,2,3,,2018-10-22 11:50:32,TRUE,Observatory,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-observatory-cape-town/kw1404465,235,,house,3495000
24,atlantic-seaboard,1,1,71,2018-09-13 14:12:21,FALSE,Mouille Point,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-mouille-point/as1398467,,,apartment,3600000
25,boland-winelands,4,4,350,2016-08-25 10:17:17,FALSE,Franschhoek,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-franschhoek/fwi1282092,513,2,house,7431000
26,southern-suburbs,2,3,,2018-10-11 16:21:59,FALSE,Diep River,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-diep-river/kw1402897,904,,house,3395000
27,northern-suburbs,3,5,260,2017-12-04 09:29:09,FALSE,Silvertree Estate,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-silvertree-estate/kw1351618,588,2,house,6900000
28,city-bowl,1,2,105,2018-06-11 11:50:36,FALSE,Vredehoek,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-vredehoek/cb1375417,,1,apartment,3650000
29,boland-winelands,3.5,3,268,2018-10-01 11:54:33,FALSE,Brandwacht,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-brandwacht/st1395985,329,3,apartment,7430000
30,boland-winelands,2,2,90,2010-08-11 09:47:29,FALSE,Paarl,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-paarl/449227,105,,apartment,975000
31,boland-winelands,2,4,160,2018-11-05 11:59:59,FALSE,Malmesbury,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-malmesbury/1ms1406769,11090,,house,2435000
32,northern-suburbs,2,2,137,2018-05-04 11:30:55,FALSE,Rosendal,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-rosendal-bellville-eversdal-surrounds/dbv1374096,,1,apartment,1950000
33,boland-winelands,3,3,,2018-09-25 15:04:21,FALSE,Riebeek West,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-riebeek-west/rv1399294,1806,,apartment,2850000
34,southern-suburbs,1,1,79,2018-10-09 10:29:55,FALSE,Bantry Bay,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-bantry-bay/as1402190,,,apartment,3995000
35,boland-winelands,2.5,3,260,2018-02-12 09:15:47,FALSE,Montclair,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-montclair-somerset-west/sw1360380,849,2,apartment,4650000
36,boland-winelands,4,4,297,2018-08-21 09:57:56,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-val-de-vie/tk1393705,813,2,apartment,7280000
37,boland-winelands,3,4,390,2018-03-02 09:02:13,FALSE,Paarl South,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-paarl-south/tk1363846,700,2,house,5950000
38,atlantic-seaboard,1,1,39,2018-07-05 08:36:18,FALSE,Camps Bay,https://www.pamgolding.co.za/property-details/1-bedroom-bachelor-apartment-for-sale-camps-bay/bay1385672,,,apartment,2995000
39,northern-suburbs,3,3,,2018-07-19 16:45:15,FALSE,Newlands,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-newlands-cape-town/kw1372282,505,2,house,7450000
40,southern-suburbs,2,4,,2018-08-13 12:45:27,FALSE,Constantia,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-constantia-cape-town/kw1378403,698,2,house,4500000
41,southern-peninsula,2,3,,2018-07-10 11:53:59,FALSE,Crofters Valley,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-crofters-valley/fh1385654,753,2,house,3295000
42,boland-winelands,2,3,192,2018-11-15 14:10:25,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-val-de-vie/tk1408593,420,2,apartment,4550000
43,southern-suburbs,1,1,75,2018-04-26 14:30:59,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-sea-point/as1372711,,,apartment,3495000
44,southern-suburbs,3.5,3,172,2018-03-06 14:37:59,FALSE,Fresnaye,https://www.pamgolding.co.za/property-details/3-bedroom-apartment-for-sale-fresnaye/as1364604,,1,apartment,7495000
45,boland-winelands,2,3,163,2018-10-08 16:03:06,FALSE,Dennegeur,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-dennegeur/sw1402121,400,,house,2350000
46,boland-winelands,4,4,350,2018-08-13 18:26:44,FALSE,Ceres,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-ceres/rv1392998,501,,apartment,4000000
47,boland-winelands,2,4,290,2018-09-21 11:02:23,FALSE,Bergzicht,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-bergzicht/1ms1399700,1013,2,house,1900000
48,boland-winelands,3,4,380,2018-06-28 13:05:46,FALSE,Steynsrust,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-steynsrust/sw1383117,968,,apartment,3999000
49,boland-winelands,2,3,175,2018-08-28 11:40:26,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-val-de-vie/tk1395674,432,1,apartment,4150000
50,boland-winelands,4,4,312,2018-06-04 11:24:51,FALSE,Die Boord,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-die-boord/st1379284,505,2,house,3900000
51,boland-winelands,3,4,400,2018-07-03 14:10:15,FALSE,Helena Heights,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-helena-heights/sw1385390,1300,,apartment,4800000
52,boland-winelands,4,3,480,2017-04-13 09:28:10,FALSE,Mountainside,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-mountainside/sw1315242,750,4,house,6800000
53,boland-winelands,3,4,400,2018-04-20 12:54:38,FALSE,Tre Donne Estate,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-tre-donne-estate/sw1371557,3917,3,apartment,4495000
54,southern-peninsula,1,3,154,2018-02-06 13:49:20,FALSE,Fish Hoek Central,https://www.pamgolding.co.za/property-details/3-bedroom-apartment-for-sale-fish-hoek-central/fh1359450,,,apartment,2200000
55,boland-winelands,4.5,4,,2018-03-19 12:41:04,FALSE,Croydon Olive Estate,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-croydon-olive-estate/sw1366885,612,2,house,4495000
56,boland-winelands,1,3,118,2018-11-13 08:26:02,FALSE,Paarl,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paarl/tk1407888,560,1,house,995000
57,southern-suburbs,1,2,72,2018-07-20 15:43:14,FALSE,Green Point,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-green-point-cape-town/as1388131,,,apartment,3695000
58,boland-winelands,4,4,320,2016-08-25 10:32:05,FALSE,Franschhoek,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-franschhoek/fwi1282093,452,2,house,6643000
59,northern-suburbs,1,1,68,2017-05-25 14:07:00,FALSE,Durbanville,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-durbanville/dbv1321493,,,apartment,2275000
60,boland-winelands,2,3,240,2016-11-10 17:37:08,FALSE,Ceres,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-ceres/rv1293973,557,,apartment,3190000
61,southern-suburbs,2,2,67,2018-07-17 07:34:40,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-sea-point/as1386495,,,apartment,3250000
62,boland-winelands,2.5,3,193,2017-11-08 14:43:43,FALSE,Welgevonden Estate,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-welgevonden-estate-stellenbosch/st1347642,224,2,house,3550000
63,boland-winelands,3,3,287,2018-07-26 21:04:06,FALSE,Paarl North,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paarl-north/tk1389499,642,2,house,2490000
64,boland-winelands,5,5,,2016-11-01 13:04:23,FALSE,Gordons Bay,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-gordons-bay/sw1292250,955,,house,6600000
65,southern-peninsula,2,3,,2018-02-28 15:06:07,FALSE,Zeekoevlei,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-zeekoevlei/1ot1363405,656,,house,1450000
66,boland-winelands,2,3,,2018-04-30 09:42:11,FALSE,Harbour Island,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-harbour-island/sw1373340,282,,house,2650000
67,northern-suburbs,1,2,63,2018-11-09 11:09:43,FALSE,Burgundy Estate,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-burgundy-estate/1pla1407467,,,apartment,1195000
68,boland-winelands,2,3,367,2017-12-01 16:00:07,FALSE,Parel Vallei,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-parel-vallei/sw1349765,920,2,apartment,5950000
69,southern-suburbs,3,3,242,2018-08-23 08:55:12,FALSE,Constantia,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-constantia-cape-town/kw1394463,863,1,house,4950000
70,boland-winelands,2,3,200,2018-01-29 16:40:45,FALSE,Franschhoek,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-franschhoek/fwi1358039,623,,apartment,4500000
71,boland-winelands,2,4,244,2018-10-04 16:40:10,FALSE,Goedehoop,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-goedehoop/sw1401666,699,2,apartment,2395000
72,southern-suburbs,2,2,193,2018-05-21 14:34:36,FALSE,De Waterkant,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-de-waterkant/as1377091,,,apartment,7500000
73,boland-winelands,4,5,360,2018-10-12 15:30:57,FALSE,Robertson,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-robertson/rob1403106,1301,2,house,2580000
74,atlantic-seaboard,1,1,44,2018-05-17 14:20:45,FALSE,De Waterkant,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-de-waterkant/as1376303,,,apartment,2350000
75,northern-suburbs,1,1,39,2018-10-24 17:29:02,FALSE,Edgemead,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-edgemead/1pla1405093,,,apartment,905000
76,boland-winelands,5,5,,2018-10-06 14:38:09,FALSE,Riebeek West,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-riebeek-west/rv1401920,1336,,apartment,3900000
77,boland-winelands,2,4,165,2018-07-23 09:45:36,FALSE,Wellington Central,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-wellington-central/wel1388577,350,1,apartment,1779000
78,boland-winelands,2,6,250,2018-08-07 16:17:09,FALSE,Strand,https://www.pamgolding.co.za/property-details/6-bedroom-house-for-sale-strand/sw1364180,496,,house,1490000
79,boland-winelands,1,2,,2018-11-09 09:20:24,FALSE,McGregor,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-mcgregor/mg1407333,1003,,house,1650000
80,boland-winelands,4.5,4,351,2018-09-14 15:24:36,FALSE,Nooitgedacht Estate,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-nooitgedacht-estate/st1398721,763,2,apartment,6750000
81,atlantic-seaboard,1,1,57,2018-05-30 10:19:22,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-sea-point/as1378491,,,apartment,3250000
82,boland-winelands,2,4,280,2018-08-21 15:23:32,FALSE,Nuwe Uitsig,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-nuwe-uitsig/wel1394601,713,2,house,2990000
83,boland-winelands,3,3,352,2018-10-02 14:30:50,FALSE,Riebeek Kasteel,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-riebeek-kasteel/rv1401182,963,2,apartment,5100000
84,southern-peninsula,2,3,170,2018-08-21 09:39:44,FALSE,Simons Town,https://www.pamgolding.co.za/property-details/3-bedroom-cottage-for-sale-simons-town/fh1394459,434,2,house,3900000
85,city-bowl,1,2,110,2018-10-24 09:00:45,TRUE,Tamboerskloof,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-tamboerskloof/cb1404895,,1,apartment,3800000
86,northern-suburbs,3,4,256,2018-10-17 13:37:31,TRUE,Tokai,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-tokai/kw1403829,986,2,house,4950000
87,boland-winelands,3,2,376,2018-10-08 12:24:03,FALSE,Tre Donne Estate,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-tre-donne-estate/sw1401800,3350,1,apartment,4850000
88,boland-winelands,3,4,580,2017-12-04 10:49:40,FALSE,Greenways,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-greenways/sw1351638,676,2,apartment,6450000
89,boland-winelands,4,4,350,2018-08-13 18:26:44,FALSE,Ceres,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-ceres/rv1392998,501,,house,4000000
90,boland-winelands,3,3,265,2017-12-06 12:21:36,FALSE,Gordons Bay,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-gordons-bay/sw1352081,120,2,apartment,4950000
91,southern-suburbs,2.5,2,126,2018-10-01 11:58:58,FALSE,Bantry Bay,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-bantry-bay/as1400892,,1,apartment,7420000
92,boland-winelands,2,3,,2018-09-23 15:12:45,FALSE,McGregor,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-mcgregor/mg1399925,1076,2,house,3999500
93,southern-suburbs,1,2,78,2018-11-06 19:47:40,FALSE,Belgravia,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-belgravia-athlone/1ah1406774,308,2,house,1275000
94,southern-suburbs,2,2,72,2018-10-24 15:44:08,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-sea-point/as1405051,,,apartment,3500000
95,boland-winelands,2.5,3,,2018-01-10 11:57:33,FALSE,Paardevlei,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paardevlei/sw1316906,455,2,house,4395000
96,boland-winelands,3,3,,2017-11-29 17:01:51,FALSE,Worlds View,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-worlds-view-somerset-west/sw1351143,1351,2,apartment,4600000
97,boland-winelands,2,4,,2017-08-29 15:15:28,FALSE,Tulbagh,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-tulbagh/rv1336171,1718,,apartment,2600000
98,northern-suburbs,3,4,,2017-08-15 15:00:57,FALSE,Kenilworth Upper,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-kenilworth-upper/kw1333948,714,,house,6200000
99,boland-winelands,5,6,470,2017-01-27 14:46:09,FALSE,Strand North,https://www.pamgolding.co.za/property-details/6-bedroom-house-for-sale-strand-north/sw1302496,851,,house,2865000
100,northern-suburbs,2.5,4,,2018-07-20 13:33:38,FALSE,Pinelands,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-pinelands-cape-town/kw1388284,922,1,house,3725000
101,southern-suburbs,2,3,,2018-10-25 12:58:56,FALSE,Rondebosch,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-rondebosch/kw1405223,183,,house,4200000
102,northern-suburbs,3.5,4,,2018-11-15 09:15:06,FALSE,Constantia,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-constantia-cape-town/kw1408438,2870,2,house,6450000
103,boland-winelands,2,3,104,2018-02-12 11:22:58,FALSE,Somerset West,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-somerset-west/sw1360420,,,apartment,2070000
104,southern-peninsula,1,3,73,2018-10-04 15:18:10,FALSE,Muizenberg,https://www.pamgolding.co.za/property-details/3-bedroom-apartment-for-sale-muizenberg/fh1401632,,1,apartment,1450000
105,atlantic-seaboard,2.5,3,168,2018-08-10 13:47:09,FALSE,Northshore,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-northshore/hob1392445,168,2,house,4195000
106,boland-winelands,4,3,453,2018-04-03 13:10:30,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-val-de-vie/tk1369062,800,2,apartment,7250000
107,boland-winelands,3,4,,2016-11-22 13:13:30,FALSE,Robertson,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-robertson/rob1295549,591,2,house,3750000
108,atlantic-seaboard,1,1,51,2018-10-16 13:01:21,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-sea-point/as1403538,,,apartment,2450000
109,boland-winelands,2,2,,2018-10-25 10:19:26,FALSE,Wellington Central,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-wellington-central/wel1404938,273,1,house,1599000
110,boland-winelands,3,4,180,2018-09-28 15:55:35,FALSE,Robertson,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-robertson/rob1400734,1315,1,apartment,2995000
111,atlantic-seaboard,2,2,72,2018-10-24 15:44:08,FALSE,Sea Point,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-sea-point/as1405051,,,apartment,3500000
112,boland-winelands,3,4,323,2018-07-05 13:36:34,FALSE,Val de Vie,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-val-de-vie/tk1384833,600,2,apartment,5950000
113,boland-winelands,2,3,240,2016-11-10 17:37:08,FALSE,Ceres,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-ceres/rv1293973,557,,house,3190000
114,boland-winelands,2,3,,2018-09-07 12:29:39,FALSE,Wellington Central,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-wellington-central/wel1397492,381,2,apartment,1899000
115,city-bowl,2,2,112,2018-09-20 13:10:05,FALSE,Cape Town Central,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-cape-town-central/cb1399562,,,apartment,2650000
116,boland-winelands,2,3,150,2018-07-11 16:07:00,FALSE,Paarl,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paarl/tk1386792,441,2,apartment,2200000
117,boland-winelands,2,3,,2017-05-03 10:17:02,FALSE,Gordons Bay,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-gordons-bay/sw1317654,584,4,house,1950000
118,boland-winelands,3,3,270,2018-06-15 15:45:16,FALSE,Franschhoek,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-franschhoek/fwi1382504,358,1,apartment,5850000
119,boland-winelands,3.5,6,,2018-07-03 12:46:38,FALSE,McGregor,https://www.pamgolding.co.za/property-details/6-bedroom-house-for-sale-mcgregor/mg1385358,314,,apartment,850000
120,southern-suburbs,2,2,131,2018-05-21 15:02:06,FALSE,De Waterkant,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-de-waterkant/as1377102,,,apartment,6029000
121,atlantic-seaboard,5,6,575,2018-10-09 12:13:28,FALSE,Northshore,https://www.pamgolding.co.za/property-details/6-bedroom-house-for-sale-northshore/hob1402237,790,5,house,4995000
122,boland-winelands,3,3,244,2018-04-25 10:28:39,FALSE,Croydon,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-croydon-somerset-west/sw1369324,633,2,apartment,3595000
123,boland-winelands,3,3,194,2018-11-09 09:30:53,FALSE,Welgevonden Estate,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-welgevonden-estate-stellenbosch/st1407508,315,2,house,3350000
124,boland-winelands,2.5,3,397,2018-09-06 17:51:49,FALSE,Vrykyk,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-vrykyk/tk1395220,931,,apartment,3750000
125,southern-peninsula,2,4,,2018-10-19 12:22:42,FALSE,Fish Hoek,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-fish-hoek/fh1401139,607,1,house,3320000
126,boland-winelands,2,3,120,2017-08-24 09:52:59,FALSE,Franschhoek,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-franschhoek/fwi1335371,432,1,apartment,3750000
127,boland-winelands,2.5,3,243,2017-04-13 09:20:48,FALSE,Paardevlei,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paardevlei/sw1315395,478,2,house,4295000
128,boland-winelands,3.5,3,,2018-04-20 12:22:27,FALSE,Schonenberg,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-schonenberg/sw1372078,564,2,house,5950000
129,boland-winelands,3,3,194,2018-11-09 09:30:53,FALSE,Welgevonden Estate,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-welgevonden-estate-stellenbosch/st1407508,315,2,apartment,3350000
130,boland-winelands,1,2,,2018-10-10 11:03:00,FALSE,Somerset West,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-somerset-west/sw1401972,208,1,house,985000
131,southern-suburbs,2,3,96,2018-09-25 22:06:18,FALSE,Constantia,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-constantia-cape-town/kw1398879,96,,house,3350000
132,boland-winelands,2,3,189,2018-05-11 13:04:14,FALSE,Monte Sereno,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-monte-sereno/sw1375488,622,2,apartment,2650000
133,boland-winelands,2,3,162,2017-05-19 12:54:02,FALSE,Paarl,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-paarl/tk1320403,426,2,house,2120000
134,northern-suburbs,2,3,,2018-10-05 16:40:13,FALSE,Claremont,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-claremont-cape-town/kw1401887,130,,house,2795000
135,southern-peninsula,3,3,,2018-03-22 15:46:18,FALSE,Kommetjie,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-kommetjie/kom1366551,650,1,house,3200000
136,northern-suburbs,2,2,,2018-08-31 10:41:28,FALSE,Wynberg Upper,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-wynberg-upper/kw1396349,257,,house,3200000
137,southern-suburbs,1,1,65,2018-09-07 10:54:27,FALSE,De Waterkant,https://www.pamgolding.co.za/property-details/1-bedroom-apartment-for-sale-de-waterkant/as1397449,,,apartment,2950000
138,boland-winelands,2,3,210,2018-10-25 12:41:11,FALSE,Kelderhof Country Village,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-kelderhof-country-village/sw1405143,527,2,apartment,3195000
139,southern-peninsula,1,2,45,2018-09-17 13:04:24,FALSE,Muizenberg,https://www.pamgolding.co.za/property-details/2-bedroom-apartment-for-sale-muizenberg/fh1398930,,,apartment,860000
140,boland-winelands,4,4,370,2018-01-16 10:46:33,FALSE,Boschenmeer Golf Estate,https://www.pamgolding.co.za/property-details/4-bedroom-house-for-sale-boschenmeer-golf-estate/tk1355557,398,2,apartment,6850000
141,southern-peninsula,3,3,,2018-04-19 15:33:28,FALSE,San Michel,https://www.pamgolding.co.za/property-details/3-bedroom-house-for-sale-san-michel/fh1371093,1135,2,house,5150000
142,boland-winelands,3,5,350,2018-02-07 21:54:25,FALSE,Robertson,https://www.pamgolding.co.za/property-details/5-bedroom-house-for-sale-robertson/rob1359452,1359,1,house,2695000
143,boland-winelands,1,2,119,2018-07-16 16:05:49,FALSE,Tafelzicht,https://www.pamgolding.co.za/property-details/2-bedroom-house-for-sale-tafelzicht/1ms1387567,378,1,apartment,1249900
144,boland-winelands,1,2,,2017-12-08 13:03:46,FALSE,Ceres,https://www.pamgolding.co.za/property-details/2-bedroom-cottage-for-sale-ceres/rv1352430,243,,apartment,590000
